AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;medium;9;blue;1234;danger;23;safe;9;none;20.7
2;danger;23;false;23445;safe;9;medium;45.5;danger;1234
3;none;1234;false;7;medium;10;blue;23445;medium;0.55
4;red;23;true;45.5;hot;45.5;hot;11;blue;1234
5;true;1234;false;1234;cold;45.5;red;1234;medium;9
6;safe;23445;medium;45.5;medium;7;hot;10;medium;7
7;danger;45.5;safe;45.5;danger;23445;none;23445;cold;11
8;blue;7;true;11;false;20.7;blue;0.55;none;1234
9;none;10;false;9;cold;11;medium;0.55;hot;1234
10;hot;10;false;20.7;hot;23;blue;7;blue;11
11;medium;9;red;23445;false;11;none;23;danger;1234
12;blue;7;blue;20.7;blue;1234;cold;20.7;none;0.55
13;none;23;blue;20.7;hot;0.55;danger;10;danger;1234
14;blue;7;true;45.5;red;1234;danger;23;hot;10
15;hot;7;danger;10;hot;23;false;11;none;11
16;none;9;false;23;medium;11;cold;10;cold;45.5
17;safe;7;red;11;true;23;blue;23;danger;1234
18;medium;10;medium;10;cold;23445;hot;45.5;false;7
19;red;20.7;blue;23;hot;23445;hot;45.5;safe;45.5
20;medium;20.7;true;23;cold;1234;medium;9;blue;10
21;hot;23;hot;1234;red;9;cold;0.55;red;23445
22;blue;20.7;false;7;none;0.55;danger;20.7;true;0.55
23;true;9;true;20.7;false;10;false;23;hot;20.7
24;false;9;medium;1234;red;11;cold;7;danger;20.7
25;none;10;danger;45.5;none;45.5;none;45.5;danger;11
26;true;23;danger;23445;blue;1234;hot;0.55;blue;45.5
27;false;20.7;red;1234;medium;45.5;cold;23445;hot;0.55
28;blue;10;hot;0.55;medium;20.7;blue;7;true;20.7
29;false;23;blue;0.55;true;20.7;true;10;blue;1234
30;false;20.7;hot;9;danger;20.7;blue;1234;false;23445
31;red;0.55;none;45.5;none;1234;false;1234;none;9
32;red;11;red;10;cold;9;blue;10;true;9
33;cold;45.5;red;45.5;red;7;medium;10;false;23
34;cold;23445;danger;45.5;safe;10;medium;20.7;true;20.7
35;true;45.5;cold;1234;blue;0.55;true;10;blue;9
36;none;0.55;red;9;blue;23;hot;10;red;1234
37;danger;10;medium;11;blue;45.5;blue;10;red;10
38;true;0.55;cold;10;true;23445;hot;23445;true;23445
39;blue;23;medium;20.7;blue;45.5;medium;10;false;0.55
40;red;10;danger;7;safe;23;false;23445;safe;23
41;false;11;cold;20.7;blue;11;false;1234;blue;7
42;safe;45.5;safe;11;false;20.7;none;45.5;medium;10
43;true;23;red;0.55;cold;45.5;hot;23445;false;20.7
44;red;11;hot;23;false;20.7;danger;0.55;blue;0.55
45;true;23445;red;23;medium;7;safe;23445;cold;0.55
46;cold;9;blue;7;true;9;blue;11;true;9
47;safe;23445;cold;45.5;none;45.5;false;1234;none;23445
48;hot;7;medium;23;safe;0.55;cold;7;cold;20.7
49;red;23;safe;11;danger;45.5;false;23445;red;10
50;red;9;false;7;red;7;true;23;medium;10
51;red;45.5;blue;1234;false;20.7;blue;11;blue;0.55
52;red;23;medium;0.55;red;1234;medium;20.7;danger;1234
53;true;23445;medium;9;none;23;none;20.7;red;7
54;medium;11;safe;1234;medium;0.55;blue;9;none;9
55;red;0.55;medium;11;safe;9;blue;1234;danger;10
56;none;23445;hot;9;medium;10;true;9;true;11
57;red;23;hot;9;hot;10;none;11;safe;1234
58;danger;7;cold;20.7;cold;23;cold;11;true;23
59;danger;23445;false;0.55;red;9;medium;7;true;10
60;false;1234;true;1234;safe;10;blue;23445;hot;10
61;danger;45.5;none;23;none;23445;hot;10;none;7
62;danger;23;safe;23445;false;7;none;1234;danger;11
63;false;20.7;none;23;true;45.5;false;45.5;red;45.5
64;safe;23445;true;10;blue;23;none;9;true;1234
65;true;7;safe;20.7;none;7;true;11;false;9
66;true;23445;true;1234;danger;0.55;hot;20.7;medium;0.55
67;hot;20.7;danger;20.7;cold;10;none;45.5;false;0.55
68;blue;0.55;medium;7;false;7;medium;9;hot;45.5
69;safe;11;medium;10;false;7;blue;1234;blue;9
70;red;7;none;45.5;blue;10;false;20.7;hot;45.5
71;none;0.55;danger;1234;false;23;safe;0.55;cold;20.7
72;red;23;none;11;blue;10;false;23445;none;1234
73;hot;11;blue;45.5;danger;23445;danger;1234;danger;0.55
74;false;1234;blue;7;danger;23445;blue;20.7;cold;0.55
75;none;45.5;false;0.55;danger;23445;true;11;danger;10
76;safe;0.55;false;11;false;11;false;9;red;9
77;red;10;true;23445;blue;10;none;11;blue;1234
78;medium;0.55;danger;10;danger;23;true;45.5;cold;0.55
79;true;10;true;45.5;hot;0.55;blue;0.55;false;45.5
80;hot;11;false;1234;cold;9;false;23445;medium;23445
81;blue;11;false;10;danger;1234;hot;7;true;23
82;hot;23;true;9;blue;10;safe;20.7;hot;1234
