AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double
Disease;string

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9;Disease
1;blue;7;red;20.7;blue;23445;danger;9;true;0.55;Maladie0
2;danger;11;true;45.5;medium;11;safe;45.5;danger;9;Maladie1
3;true;23445;false;20.7;none;23445;danger;20.7;danger;1234;Maladie2
4;cold;7;cold;7;cold;23;hot;7;red;23445;Maladie3
5;red;7;safe;23;blue;10;hot;10;false;23445;Maladie4
6;medium;0.55;danger;9;medium;0.55;none;1234;none;1234;Maladie5
7;hot;45.5;medium;11;none;7;hot;0.55;true;1234;Maladie6
8;medium;23445;blue;11;false;23445;red;1234;none;1234;Maladie7
9;medium;45.5;false;20.7;safe;23445;false;45.5;none;23445;Maladie8
10;danger;7;red;7;safe;1234;danger;23445;none;0.55;Maladie9
11;blue;10;safe;11;medium;23445;true;7;blue;23;Maladie10
12;safe;11;safe;7;false;1234;danger;10;true;20.7;Maladie11
13;false;23;hot;7;medium;1234;blue;9;medium;0.55;Maladie12
14;cold;1234;medium;11;medium;20.7;none;9;false;0.55;Maladie13
15;cold;0.55;false;20.7;cold;23445;none;7;hot;20.7;Maladie14
16;false;23445;safe;7;none;9;none;11;red;1234;Maladie15
17;cold;11;safe;10;hot;9;false;23;blue;0.55;Maladie16
18;false;11;true;1234;hot;10;true;23445;hot;23;Maladie17
19;none;0.55;false;10;medium;45.5;hot;10;medium;0.55;Maladie18
20;danger;11;red;1234;cold;20.7;safe;23;false;0.55;Maladie19
21;red;23;hot;1234;safe;11;medium;1234;blue;11;Maladie20
22;danger;10;safe;9;false;1234;medium;9;danger;0.55;Maladie21
23;true;9;true;10;none;0.55;safe;23;blue;7;Maladie22
24;medium;11;blue;7;safe;10;safe;45.5;red;20.7;Maladie23
25;cold;45.5;hot;7;red;20.7;true;10;false;9;Maladie24
26;safe;23445;false;10;none;1234;hot;23;cold;23;Maladie25
27;red;11;hot;7;danger;45.5;none;23445;false;7;Maladie26
28;safe;0.55;none;23445;red;23;cold;45.5;danger;45.5;Maladie27
29;hot;20.7;true;7;red;1234;none;9;true;0.55;Maladie28
30;cold;45.5;danger;23;false;10;false;0.55;danger;1234;Maladie29
31;cold;10;red;23;cold;9;none;23445;none;9;Maladie30
32;false;20.7;safe;7;danger;11;cold;23;medium;23445;Maladie31
33;cold;10;cold;23;red;7;medium;20.7;cold;20.7;Maladie32
34;blue;23445;cold;9;cold;11;medium;7;none;10;Maladie33
35;false;23;safe;45.5;true;45.5;cold;11;medium;10;Maladie34
36;red;45.5;danger;45.5;cold;23445;hot;23;hot;23;Maladie35
37;medium;1234;danger;10;red;10;false;11;danger;1234;Maladie36
38;hot;7;danger;23;blue;23445;true;10;none;45.5;Maladie37
39;hot;23445;safe;10;red;11;cold;10;true;1234;Maladie38
40;danger;7;safe;23;red;23445;cold;7;medium;11;Maladie39
41;none;10;true;1234;none;0.55;blue;7;true;7;Maladie40
42;none;9;danger;1234;blue;20.7;true;1234;cold;23;Maladie41
43;blue;0.55;hot;1234;false;23;medium;7;danger;11;Maladie42
44;danger;20.7;none;7;danger;0.55;blue;9;none;20.7;Maladie43
45;true;0.55;blue;10;none;10;red;20.7;medium;10;Maladie44
46;blue;0.55;danger;23;true;11;danger;7;danger;11;Maladie45
47;cold;0.55;true;0.55;false;20.7;danger;1234;safe;9;Maladie46
48;false;7;danger;7;none;10;hot;1234;red;7;Maladie47
49;false;1234;cold;20.7;blue;45.5;none;20.7;danger;23445;Maladie48
50;safe;10;hot;23;false;23445;hot;7;red;7;Maladie49
51;blue;0.55;true;7;none;20.7;safe;23;red;1234;Maladie50
52;medium;23;danger;7;false;45.5;false;0.55;true;9;Maladie51
53;hot;7;none;9;red;1234;false;7;hot;1234;Maladie52
54;true;10;true;23445;red;20.7;blue;23;hot;45.5;Maladie53
55;none;0.55;red;10;false;23;true;23445;cold;7;Maladie54
56;false;23;blue;0.55;false;9;false;45.5;false;10;Maladie55
57;none;1234;safe;0.55;none;45.5;safe;23445;medium;9;Maladie56
58;hot;20.7;hot;23445;blue;45.5;hot;11;medium;10;Maladie57
59;true;23445;red;11;hot;7;hot;7;true;7;Maladie58
60;medium;9;none;45.5;red;10;safe;23445;false;7;Maladie59
61;hot;11;hot;11;danger;9;medium;1234;true;10;Maladie60
62;true;23;safe;23445;red;23;safe;7;hot;23;Maladie61
63;medium;9;red;11;safe;23;safe;10;red;20.7;Maladie62
64;none;1234;medium;45.5;cold;1234;blue;20.7;danger;10;Maladie63
65;false;45.5;cold;7;blue;20.7;cold;23;none;45.5;Maladie64
66;hot;20.7;blue;10;blue;1234;red;23445;safe;0.55;Maladie65
67;medium;20.7;none;23;hot;9;none;1234;hot;1234;Maladie66
68;hot;10;false;23445;medium;9;blue;1234;danger;23445;Maladie67
69;hot;20.7;red;1234;danger;23445;none;10;cold;11;Maladie68
70;cold;20.7;hot;11;danger;11;medium;11;cold;11;Maladie69
71;hot;9;cold;23;safe;1234;safe;11;false;11;Maladie70
72;cold;11;cold;11;cold;7;false;20.7;safe;1234;Maladie71
73;true;11;false;23;false;23;red;45.5;red;9;Maladie72
74;blue;23445;cold;9;danger;45.5;red;0.55;danger;10;Maladie73
75;none;0.55;true;1234;safe;20.7;false;0.55;safe;23;Maladie74
76;safe;7;blue;0.55;false;9;danger;7;none;10;Maladie75
77;blue;1234;medium;9;cold;11;cold;11;false;0.55;Maladie76
78;false;45.5;cold;9;medium;9;hot;45.5;medium;11;Maladie77
79;medium;20.7;hot;23;medium;9;red;0.55;none;45.5;Maladie78
