AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;medium;10;danger;23445;safe;23;hot;9;cold;45.5
2;false;10;red;23;true;11;cold;45.5;safe;10
3;hot;10;red;20.7;blue;23;red;9;medium;23445
4;red;9;blue;11;hot;9;red;1234;hot;9
5;cold;7;hot;45.5;cold;45.5;none;11;none;11
6;medium;20.7;none;23445;none;11;blue;23;danger;0.55
7;medium;10;danger;11;medium;7;safe;1234;cold;1234
8;red;1234;true;11;hot;11;none;1234;true;11
9;red;23445;none;7;false;10;red;45.5;danger;7
10;safe;23;safe;11;cold;9;blue;1234;none;45.5
11;blue;11;hot;23445;red;20.7;hot;20.7;safe;45.5
12;none;45.5;none;23445;cold;23;hot;20.7;danger;1234
13;cold;23445;safe;23445;true;9;true;20.7;true;7
14;false;20.7;red;1234;medium;10;true;11;red;7
15;red;10;true;23445;false;9;cold;0.55;blue;0.55
16;false;23445;none;11;red;23;none;0.55;danger;23445
17;hot;7;safe;23445;blue;1234;hot;7;red;45.5
18;cold;1234;hot;7;cold;1234;none;23;hot;45.5
19;hot;23;danger;10;safe;10;true;20.7;red;23
20;danger;20.7;true;0.55;false;7;true;23;false;0.55
21;blue;0.55;none;0.55;medium;23;cold;45.5;blue;23445
22;danger;0.55;medium;23445;blue;1234;false;0.55;cold;9
23;blue;7;cold;10;cold;23445;hot;20.7;safe;23445
24;blue;45.5;safe;20.7;danger;23445;false;20.7;medium;23
25;hot;10;true;0.55;none;11;hot;0.55;none;11
26;cold;10;none;9;blue;0.55;safe;20.7;safe;20.7
27;false;0.55;danger;9;danger;10;cold;10;false;11
28;red;1234;medium;1234;blue;20.7;danger;10;false;11
29;hot;11;hot;9;danger;23445;medium;11;safe;1234
30;true;11;true;10;danger;23445;cold;9;cold;9
31;medium;23;red;10;cold;20.7;cold;0.55;false;45.5
32;danger;23;true;10;false;10;false;10;true;0.55
33;medium;11;none;20.7;true;7;blue;20.7;blue;1234
34;none;7;blue;23445;medium;23445;false;0.55;none;23
35;danger;9;danger;1234;true;45.5;hot;7;red;9
36;red;10;hot;1234;false;23445;none;9;none;0.55
37;blue;45.5;true;45.5;false;45.5;true;1234;danger;10
38;none;20.7;true;10;blue;11;true;9;none;45.5
39;red;7;true;11;none;0.55;medium;7;cold;23
40;medium;23445;safe;23445;safe;10;cold;7;safe;10
41;cold;9;medium;23445;true;7;true;23445;false;11
42;false;45.5;red;23445;red;45.5;danger;23;none;20.7
43;blue;0.55;true;7;false;23;false;23445;medium;23
44;cold;11;cold;20.7;hot;23;blue;0.55;safe;45.5
45;false;0.55;none;0.55;danger;11;cold;9;blue;11
46;true;7;none;9;blue;11;blue;9;true;10
47;red;10;red;1234;danger;23;hot;10;false;11
48;safe;23445;hot;9;medium;23;true;45.5;none;23
49;red;23;false;10;blue;45.5;safe;0.55;danger;7
50;cold;23;danger;1234;cold;45.5;none;23445;blue;23445
51;false;45.5;red;23445;safe;23445;safe;10;safe;45.5
52;danger;20.7;blue;23445;hot;10;none;11;medium;23445
53;safe;0.55;cold;1234;medium;7;true;23;medium;23445
54;red;10;true;1234;none;45.5;none;7;true;45.5
55;red;9;safe;9;safe;20.7;cold;0.55;blue;11
56;none;10;red;20.7;cold;7;medium;7;hot;23445
57;false;11;safe;20.7;hot;1234;true;11;medium;10
58;safe;1234;danger;7;blue;10;danger;0.55;false;9
59;cold;7;red;0.55;cold;20.7;hot;45.5;none;0.55
60;false;23445;danger;10;false;23445;false;23;none;23
61;false;10;medium;10;blue;7;blue;23445;safe;10
62;cold;7;danger;23;none;10;safe;0.55;safe;0.55
63;hot;0.55;medium;10;false;23;danger;23445;red;9
64;true;10;true;0.55;danger;7;none;23445;none;23445
65;hot;23;hot;11;cold;7;blue;11;red;20.7
