AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;safe;23;none;0.55;blue;11;red;0.55;false;7
2;none;11;danger;23445;medium;7;safe;11;true;20.7
3;safe;7;true;11;blue;11;safe;45.5;hot;23
4;hot;10;none;45.5;cold;23445;blue;1234;false;9
5;true;45.5;red;23;danger;10;true;23;medium;45.5
6;true;11;medium;20.7;hot;10;true;9;hot;7
7;false;20.7;cold;10;danger;20.7;true;45.5;true;45.5
8;cold;9;hot;11;true;45.5;cold;0.55;true;0.55
9;true;23445;true;10;false;0.55;medium;45.5;danger;11
10;cold;10;none;9;blue;45.5;danger;20.7;false;23445
11;red;45.5;red;9;medium;23445;medium;0.55;danger;1234
12;none;9;blue;23445;none;11;cold;0.55;danger;7
13;cold;45.5;blue;7;red;7;safe;45.5;hot;23
14;hot;20.7;red;10;safe;23;red;23;danger;20.7
15;red;20.7;red;0.55;cold;23;safe;20.7;none;7
16;blue;20.7;danger;9;true;9;blue;9;blue;11
17;blue;9;blue;10;hot;0.55;medium;7;none;20.7
18;blue;45.5;cold;20.7;cold;45.5;blue;10;none;11
19;medium;10;cold;9;cold;1234;cold;9;false;9
20;false;11;none;10;cold;45.5;cold;1234;danger;0.55
21;red;11;hot;45.5;false;0.55;danger;1234;blue;45.5
22;cold;20.7;none;45.5;none;1234;blue;9;safe;45.5
23;false;0.55;medium;10;hot;1234;none;23;hot;11
24;none;20.7;safe;7;danger;7;true;23;medium;45.5
25;red;11;safe;23445;none;0.55;none;7;none;23445
26;medium;20.7;danger;10;cold;23445;true;45.5;blue;45.5
27;true;23;safe;0.55;none;11;true;9;safe;9
28;true;10;hot;23445;false;23;none;10;true;23
29;true;20.7;hot;9;none;45.5;red;11;medium;23
30;medium;11;medium;1234;safe;11;hot;7;medium;1234
31;safe;11;hot;7;cold;0.55;false;11;none;0.55
32;false;23;true;10;false;23445;blue;23445;medium;7
33;safe;20.7;cold;1234;none;11;medium;0.55;false;45.5
34;true;1234;red;9;cold;23445;danger;0.55;none;1234
35;medium;0.55;false;1234;none;23445;none;10;cold;9
36;none;0.55;medium;9;none;45.5;medium;7;red;23445
37;safe;0.55;cold;0.55;safe;23445;safe;7;blue;0.55
38;false;9;hot;10;blue;45.5;medium;1234;red;9
39;false;9;false;10;hot;9;medium;7;danger;45.5
40;none;11;none;7;danger;23445;true;23445;true;11
41;hot;20.7;hot;23445;danger;0.55;cold;23445;blue;23445
42;none;23445;safe;10;hot;45.5;cold;1234;cold;1234
43;hot;7;medium;9;red;0.55;none;20.7;medium;9
44;medium;45.5;hot;7;true;10;true;20.7;false;20.7
45;true;20.7;blue;23445;hot;0.55;danger;45.5;blue;9
46;true;7;medium;10;cold;20.7;red;23445;red;1234
47;hot;20.7;safe;23445;medium;9;red;7;blue;45.5
48;hot;23;red;23445;false;1234;red;10;cold;7
49;hot;11;cold;20.7;red;20.7;medium;9;cold;7
50;medium;11;hot;23;red;23;safe;23;false;45.5
51;hot;45.5;red;0.55;hot;23;hot;1234;medium;20.7
52;cold;23;danger;1234;blue;20.7;false;7;red;45.5
53;hot;7;true;10;hot;23445;blue;0.55;none;7
54;blue;20.7;false;23445;danger;0.55;hot;0.55;false;9
55;medium;11;false;10;none;10;none;0.55;danger;0.55
56;blue;1234;danger;45.5;none;11;blue;20.7;cold;7
57;none;23445;medium;7;red;20.7;safe;23445;cold;11
58;true;23445;true;20.7;false;20.7;true;45.5;medium;45.5
59;false;20.7;none;23445;cold;45.5;safe;11;safe;45.5
60;medium;1234;cold;23445;cold;23;danger;20.7;medium;7
61;blue;45.5;none;23;false;20.7;none;1234;danger;9
62;false;45.5;none;11;danger;7;none;0.55;red;1234
63;safe;9;cold;0.55;safe;10;none;0.55;true;45.5
64;medium;9;false;1234;cold;45.5;blue;1234;false;9
65;cold;0.55;none;23445;medium;23;red;23445;safe;20.7
66;false;7;hot;11;blue;20.7;medium;20.7;none;23445
67;danger;20.7;safe;7;red;23445;hot;45.5;true;23445
68;none;23;medium;11;medium;20.7;medium;45.5;false;45.5
69;red;7;blue;7;safe;10;cold;1234;none;1234
70;red;1234;false;0.55;danger;11;blue;1234;false;9
71;true;7;red;0.55;blue;23;none;0.55;blue;23
72;hot;45.5;hot;23;red;23;true;0.55;medium;45.5
73;hot;1234;hot;11;hot;9;cold;20.7;blue;0.55
74;medium;11;cold;45.5;red;7;medium;9;danger;10
75;hot;10;red;1234;true;9;danger;23445;danger;0.55
76;cold;9;red;7;none;7;danger;1234;safe;23445
77;cold;23445;medium;45.5;true;0.55;safe;10;false;11
78;danger;10;false;23;safe;23445;hot;23445;red;0.55
79;medium;9;hot;23445;false;10;blue;45.5;cold;0.55
80;true;20.7;hot;10;safe;9;none;10;cold;9
81;medium;23445;hot;20.7;medium;10;blue;9;red;23445
82;medium;7;true;0.55;safe;1234;danger;11;red;0.55
83;red;7;true;20.7;cold;7;true;23;cold;0.55
84;danger;11;true;7;hot;23445;blue;11;blue;45.5
