AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;red;20.7;true;7;blue;1234;true;11;blue;20.7
2;red;1234;blue;10;hot;10;false;23;false;11
3;danger;7;blue;9;blue;23445;hot;45.5;medium;0.55
4;medium;11;none;23445;safe;45.5;safe;23445;hot;9
5;hot;10;red;23;blue;23445;red;45.5;danger;20.7
6;danger;23445;cold;23445;medium;23;hot;0.55;blue;10
7;medium;10;medium;1234;medium;45.5;medium;9;safe;45.5
8;hot;45.5;red;0.55;medium;11;true;7;true;20.7
9;none;45.5;blue;10;safe;7;hot;7;true;7
10;false;23445;medium;23445;hot;7;danger;23445;red;11
11;hot;1234;false;23;hot;11;safe;23445;true;10
12;false;7;false;7;none;9;cold;23;medium;23445
13;true;10;red;20.7;cold;23;cold;10;red;10
14;red;23;danger;20.7;false;7;true;20.7;hot;1234
15;danger;9;false;20.7;safe;23;blue;45.5;true;7
16;blue;23445;safe;1234;true;20.7;false;23;danger;20.7
17;red;23;safe;20.7;danger;1234;none;11;safe;10
18;red;23445;medium;1234;none;23;safe;23;true;1234
19;red;23;safe;1234;safe;7;true;23445;safe;9
20;false;45.5;medium;45.5;red;23;cold;9;true;23
21;danger;1234;none;9;cold;11;none;0.55;none;7
22;safe;23445;none;10;blue;20.7;false;11;medium;1234
23;safe;23445;blue;7;danger;20.7;red;9;blue;9
24;none;11;hot;11;danger;9;danger;10;safe;9
25;hot;0.55;cold;7;blue;9;cold;0.55;blue;45.5
26;none;11;true;20.7;false;23;false;11;medium;1234
27;blue;1234;danger;23445;cold;0.55;cold;11;medium;23
28;true;20.7;false;7;none;23445;danger;7;blue;23445
29;medium;23445;cold;20.7;cold;9;red;10;hot;1234
30;cold;1234;false;9;blue;23;blue;23;blue;10
31;false;1234;blue;23;true;45.5;red;11;danger;10
32;danger;20.7;blue;20.7;danger;11;hot;20.7;true;23445
33;true;0.55;safe;45.5;cold;7;safe;45.5;cold;23445
34;safe;7;cold;11;red;0.55;blue;7;false;23445
35;safe;20.7;cold;9;false;45.5;true;20.7;true;11
36;hot;7;blue;20.7;safe;0.55;cold;1234;false;1234
37;none;11;red;9;red;10;hot;0.55;hot;0.55
38;medium;11;false;10;cold;10;true;7;hot;10
39;danger;11;blue;1234;medium;23;safe;9;danger;23445
40;false;7;red;23445;hot;11;danger;23445;red;1234
41;medium;0.55;blue;23;false;0.55;cold;9;red;23445
42;blue;7;danger;11;red;45.5;danger;1234;safe;7
43;danger;23445;none;23;none;23445;true;10;none;7
44;cold;23445;cold;1234;none;45.5;true;20.7;false;0.55
45;danger;9;medium;7;hot;45.5;cold;10;safe;7
46;false;0.55;blue;0.55;cold;45.5;danger;1234;danger;23445
47;medium;0.55;danger;0.55;medium;0.55;blue;10;danger;23
48;medium;45.5;true;9;red;1234;medium;10;hot;45.5
49;danger;23;true;45.5;none;1234;blue;0.55;none;20.7
50;medium;23445;safe;23;medium;23;safe;9;true;45.5
51;hot;9;medium;10;hot;11;red;11;hot;10
52;red;11;hot;11;red;23445;none;7;danger;7
53;blue;10;blue;23445;danger;23445;danger;0.55;none;7
54;safe;20.7;none;0.55;red;10;safe;10;cold;10
55;danger;9;medium;11;red;11;medium;1234;none;0.55
56;safe;23;safe;10;red;9;safe;7;blue;23
57;safe;20.7;safe;10;none;1234;hot;0.55;cold;7
58;medium;9;danger;23445;false;20.7;hot;23;cold;11
59;cold;11;danger;23;false;23;red;45.5;danger;45.5
60;blue;1234;red;9;danger;7;none;1234;none;23
61;hot;0.55;none;11;medium;1234;hot;0.55;danger;11
62;safe;9;true;9;cold;23445;safe;20.7;none;9
63;safe;23445;cold;1234;safe;7;blue;10;cold;1234
64;blue;10;danger;0.55;danger;1234;danger;20.7;hot;20.7
65;red;23445;medium;45.5;false;20.7;none;7;medium;1234
66;cold;23;true;20.7;hot;20.7;blue;0.55;hot;11
67;danger;1234;blue;11;false;7;cold;9;blue;1234
68;danger;11;safe;11;danger;1234;medium;20.7;danger;11
