AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
1;none;0.55;safe;9;hot;45.5;medium;23;true;23
2;none;23445;red;20.7;cold;11;danger;1234;medium;23445
3;false;10;safe;23445;red;1234;red;23;blue;1234
4;hot;45.5;cold;23445;medium;23;true;10;none;11
5;true;1234;danger;10;cold;20.7;safe;9;red;7
6;safe;9;red;10;cold;11;none;0.55;medium;20.7
7;danger;1234;safe;45.5;cold;9;safe;23;medium;20.7
8;hot;0.55;safe;10;false;0.55;false;45.5;hot;1234
9;blue;23;medium;11;danger;10;false;23;false;1234
10;hot;11;hot;23;true;9;none;1234;medium;23445
11;cold;23445;hot;11;red;11;none;1234;safe;10
12;danger;9;true;23;true;0.55;hot;11;safe;9
13;hot;23445;cold;1234;danger;0.55;red;11;false;23
14;true;0.55;danger;23;false;11;red;45.5;cold;0.55
15;none;7;false;23445;safe;1234;red;20.7;medium;23
16;hot;45.5;false;23445;danger;23;red;9;red;23
17;cold;9;safe;45.5;true;23445;danger;23;blue;45.5
18;cold;9;medium;0.55;medium;9;cold;11;cold;9
19;cold;11;true;1234;medium;10;none;9;false;11
20;medium;20.7;blue;1234;safe;1234;red;1234;blue;10
21;medium;7;cold;45.5;none;23445;medium;11;false;10
22;safe;7;true;23445;safe;10;safe;0.55;medium;23445
23;red;45.5;blue;1234;none;11;cold;23;false;23
24;hot;9;blue;23445;none;23445;medium;7;true;10
25;safe;20.7;red;11;red;1234;none;45.5;red;11
26;medium;7;danger;0.55;hot;23;red;1234;danger;23445
27;true;7;danger;1234;red;20.7;danger;7;danger;23445
28;blue;45.5;false;45.5;hot;20.7;true;0.55;cold;11
29;none;45.5;safe;10;hot;23;medium;0.55;blue;23
30;hot;1234;medium;23445;true;1234;red;11;safe;23445
31;blue;7;hot;23;safe;23445;blue;23445;blue;9
32;true;0.55;false;9;red;0.55;blue;23;blue;7
33;medium;0.55;false;11;none;20.7;hot;10;safe;45.5
34;hot;0.55;hot;0.55;blue;7;danger;10;none;10
35;true;1234;true;23;hot;9;none;23445;false;1234
36;safe;23;medium;9;medium;0.55;cold;9;safe;9
37;medium;0.55;cold;7;none;1234;medium;10;danger;23
38;blue;23;safe;9;none;11;none;0.55;hot;7
39;red;45.5;red;11;red;7;none;10;true;23
40;danger;7;hot;0.55;blue;7;true;45.5;cold;9
41;hot;1234;false;9;danger;23445;false;0.55;none;23445
42;true;10;hot;45.5;red;9;hot;45.5;medium;0.55
43;medium;7;hot;10;false;0.55;blue;7;none;11
44;false;23;cold;23;hot;20.7;cold;0.55;red;20.7
45;hot;45.5;red;45.5;blue;10;cold;23445;blue;23
46;red;23;danger;0.55;cold;0.55;blue;10;danger;11
47;medium;23;true;23;medium;23445;danger;9;danger;20.7
48;none;10;danger;11;medium;11;cold;1234;red;11
49;cold;1234;red;1234;safe;20.7;hot;11;medium;11
50;none;23;blue;45.5;danger;23445;safe;1234;blue;10
51;hot;45.5;false;45.5;true;9;safe;11;none;0.55
52;hot;23445;safe;0.55;none;0.55;hot;23445;none;7
53;hot;20.7;danger;7;hot;7;true;1234;hot;1234
54;medium;1234;true;23445;medium;7;red;7;danger;23445
55;medium;0.55;blue;7;none;9;cold;10;cold;10
56;danger;9;blue;23445;danger;0.55;none;9;true;23
57;cold;9;danger;9;medium;1234;none;1234;blue;20.7
58;none;23445;danger;45.5;red;10;medium;9;safe;23
59;blue;1234;medium;23445;medium;11;danger;9;hot;23
